2017-03-10T11:57:41.573129	MODE: Active	dir	Server msg: 421 Service not available. User needs authentication
2017-03-10T11:57:47.834660	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T11:57:47.837154	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T12:55:10.710557	MODE: Active	dir	Server msg: 421 Service not available. User needs authentication
2017-03-10T12:55:16.535675	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T12:55:16.537476	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T12:56:48.790828	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T12:56:48.792635	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T12:58:12.661285	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T12:58:12.663733	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T13:11:14.330647	MODE: Active	dir	Server msg: 421 Service not available. User needs authentication
2017-03-10T13:11:34.945605	MODE: Active	dir u p	Server msg: 421 Service not available. User needs authentication
2017-03-10T13:11:39.887082	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T13:11:41.779274	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T13:11:47.498489	MODE: Active	user u p	Server msg: 230 User logged in, proceed. 
2017-03-10T13:11:56.851356	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T13:12:04.197284	MODE: Active	cd ..	Server msg: 550 Requested action not taken. : not accessible path ..
2017-03-10T13:12:27.880483	MODE: Active	cd test_file_source	Server msg: 250 Requested file action okay, completed.
2017-03-10T13:12:30.307806	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T13:12:33.503899	MODE: Active	cd ..	Server msg: 250 Requested file action okay, completed.
2017-03-10T13:17:00.190617	User : ANONYMOUS	MODE: Active	dir	Server msg: 421 Service not available. User needs authentication
2017-03-10T13:17:07.933535	User : ANONYMOUS	MODE: Active	login admin adminqwqqwe	Server msg: 530 Not login
2017-03-10T13:17:23.939699	User : admin	MODE: Active	login admin admin1234	Server msg: 230 User logged in, proceed. 
2017-03-10T13:17:30.257855	User : admin	MODE: Active	logout	Server msg: 231 User logged out; service terminated.
2017-03-10T13:41:07.081626	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T13:41:07.104288	User : u	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T13:42:53.775445	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T13:42:53.777900	User : u	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T13:57:43.006955	User : ANONYMOUS	MODE: Active	dir	Server msg: 421 Service not available. User needs authentication
2017-03-10T13:57:47.447247	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T13:57:49.509003	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T13:57:56.764239	User : u	MODE: Active	!dir	Server msg: Listing finished
2017-03-10T14:00:43.957442	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:00:43.959889	User : u	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T14:00:43.962702	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:08:47.550903	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:08:47.554301	User : u	MODE: Active	cd test_file_source	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:12:22.363287	User : ANONYMOUS	MODE: Active	cd test	Server msg: 421 Service not available. User needs authentication
